danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_available_markets,track_explicit,track_type,artist_main,artist_number_featured,track_popularity,track_album_release_date_precision,track_duration_ms,award_status
0.393,0.852,8,-7.782,1,0.0321,0.0453,0.378,0.691,0.8,84.539,4,184,FALSE,track,Fleetwood Mac,0,36,day,207000,nominee
0.469,0.621,1,-9.828,0,0.0313,0.876,0.0246,0.712,0.683,138.931,4,184,FALSE,track,Fleetwood Mac,0,41,day,186160,nominee
0.399,0.426,10,-10.262,1,0.0446,0.834,0.000241,0.686,0.433,145.179,4,184,FALSE,track,Fleetwood Mac,0,44,day,268200,nominee
0.589,0.816,9,-8.442,1,0.142,0.156,4.94E-06,0.643,0.739,140.787,4,184,FALSE,track,Fleetwood Mac,0,33,day,299866,nominee
0.325,0.911,5,-7.152,1,0.123,0.00676,0.00938,0.167,0.84,168.282,4,184,FALSE,track,Fleetwood Mac,0,32,day,213066,nominee
0.35,0.508,0,-7.584,1,0.025,0.269,2.37E-06,0.671,0.286,81.719,4,184,FALSE,track,Fleetwood Mac,0,63,day,341733,nominee
0.571,0.801,7,-7.227,0,0.0342,0.0399,0.0183,0.695,0.802,128.941,4,184,FALSE,track,Fleetwood Mac,0,35,day,229840,nominee
0.513,0.67,9,-6.944,1,0.0286,0.167,9.71E-06,0.961,0.586,94.382,4,184,FALSE,track,Fleetwood Mac,0,33,day,198986,nominee
0.5,0.891,5,-6.113,1,0.0437,0.000378,0.0375,0.72,0.887,131.546,4,184,FALSE,track,Fleetwood Mac,0,37,day,300466,nominee
0.621,0.791,7,-7.686,1,0.0491,0.0287,0.692,0.676,0.59,103.293,4,184,FALSE,track,Fleetwood Mac,0,37,day,262426,nominee
0.418,0.966,9,-5.075,1,0.115,0.00443,0.11,0.751,0.601,123.03,4,184,FALSE,track,Fleetwood Mac,0,34,day,331466,nominee
0.505,0.518,2,-8.601,1,0.023,0.403,0,0.129,0.472,81.019,4,165,FALSE,track,Sarah McLachlan,0,51,day,247306,nominee
0.365,0.389,10,-13.191,0,0.0334,0.119,0.214,0.0974,0.189,111.793,4,184,FALSE,track,Sarah McLachlan,0,36,day,284173,nominee
0.627,0.467,9,-9.81,1,0.0321,0.00286,0,0.11,0.61,113.01,4,184,FALSE,track,Sarah McLachlan,0,42,day,240613,nominee
0.526,0.37,3,-10.535,1,0.025,0.722,0,0.157,0.251,76.002,4,184,FALSE,track,Sarah McLachlan,0,49,day,244666,nominee
0.465,0.147,2,-15.472,1,0.0298,0.882,3.09E-05,0.134,0.197,88.931,4,184,FALSE,track,Sarah McLachlan,0,37,day,226813,nominee
0.535,0.311,6,-11.931,0,0.0282,0.701,0.000393,0.0759,0.0647,134.812,3,184,FALSE,track,Sarah McLachlan,0,31,day,287773,nominee
0.532,0.0744,1,-16.092,1,0.0355,0.949,1.22E-05,0.106,0.125,117.131,3,184,FALSE,track,Sarah McLachlan,0,63,day,270400,nominee
0.676,0.575,10,-11.198,1,0.0349,0.123,0.0917,0.0832,0.631,96.023,4,184,FALSE,track,Sarah McLachlan,0,30,day,302466,nominee
0.152,0.192,9,-12.719,1,0.0336,0.894,0.00632,0.127,0.166,175.725,3,184,FALSE,track,Sarah McLachlan,0,37,day,221120,nominee
0.366,0.02,0,-25.232,1,0.0318,0.987,0.93,0.0925,0.103,69.153,3,184,FALSE,track,Sarah McLachlan,0,27,day,150453,nominee
0.519,0.311,4,-12.156,1,0.0403,0.711,0.17,0.108,0.135,139.91,4,184,FALSE,track,Madonna,0,46,day,308880,winner
0.618,0.477,8,-12.823,0,0.0347,0.585,0.0239,0.168,0.195,100.488,4,184,FALSE,track,Madonna,0,41,day,300600,winner
0.57,0.907,3,-7.822,1,0.0302,0.00111,0.618,0.0642,0.7,127.183,4,184,FALSE,track,Madonna,0,57,day,322000,winner
0.609,0.651,1,-11.054,0,0.0451,0.0297,0.413,0.0994,0.37,97.12,4,184,FALSE,track,Madonna,0,40,day,276640,winner
0.572,0.806,8,-12.316,1,0.0645,0.339,0.832,0.0681,0.388,142.951,4,184,FALSE,track,Madonna,0,41,day,381333,winner
0.708,0.708,0,-6.933,1,0.0383,0.0518,0.0117,0.0781,0.253,116.892,4,184,FALSE,track,Madonna,0,51,day,267345,winner
0.526,0.57,10,-10.504,1,0.0379,0.0723,0.707,0.106,0.212,139.952,4,184,FALSE,track,Madonna,0,41,day,287733,winner
0.638,0.77,11,-9.501,1,0.0403,0.0583,0.0835,0.117,0.421,139.849,4,184,FALSE,track,Madonna,0,39,day,268666,winner
0.601,0.617,1,-10.917,1,0.0354,0.661,0.0148,0.149,0.31,108.013,4,184,FALSE,track,Madonna,0,60,day,367333,winner
0.468,0.544,5,-11.574,0,0.0455,0.0391,0.741,0.175,0.22,84.987,4,184,FALSE,track,Madonna,0,58,day,251160,winner
0.554,0.543,10,-12.417,0,0.0356,0.721,0.306,0.0659,0.656,88.035,4,184,FALSE,track,Madonna,0,40,day,322746,winner
0.445,0.602,1,-10.49,0,0.041,0.486,0.00866,0.133,0.35,144.923,4,184,FALSE,track,Madonna,0,37,day,318466,winner
0.329,0.175,4,-17.667,1,0.0476,0.929,0.000545,0.106,0.16,98.38,3,184,FALSE,track,Madonna,0,34,day,331760,winner
0.807,0.552,4,-6.568,1,0.0333,0.00886,0.000218,0.238,0.783,93.006,4,185,FALSE,track,Eric Clapton,0,55,day,323440,nominee
0.685,0.323,0,-8.695,1,0.0255,0.463,0.173,0.273,0.153,107.68,3,185,FALSE,track,Eric Clapton,0,40,day,442133,nominee
0.555,0.678,0,-9.304,1,0.0486,0.0737,0.0724,0.0986,0.688,174.181,4,185,FALSE,track,Eric Clapton,0,30,day,350133,nominee
0.552,0.698,1,-6.426,0,0.128,0.183,0.0301,0.106,0.584,78.853,4,185,FALSE,track,Eric Clapton,0,25,day,471813,nominee
0.788,0.539,10,-7.164,0,0.192,0.00291,0.000784,0.0452,0.748,90.008,4,185,FALSE,track,Eric Clapton,0,25,day,355680,nominee
0.657,0.645,1,-10.956,0,0.0283,0.284,0.716,0.275,0.829,98.982,4,185,FALSE,track,Eric Clapton,0,28,day,251533,nominee
0.731,0.415,4,-10.512,0,0.0954,0.0914,0.183,0.268,0.417,93.014,4,185,FALSE,track,Eric Clapton,0,23,day,319666,nominee
0.634,0.702,0,-9.65,1,0.0303,0.078,0.00417,0.095,0.397,127.982,4,185,FALSE,track,Eric Clapton,0,21,day,230200,nominee
0.542,0.785,4,-7.066,1,0.0285,0.000483,0.121,0.0821,0.395,174.246,4,185,FALSE,track,Eric Clapton,0,27,day,281800,nominee
0.584,0.854,9,-5.641,1,0.0383,0.00185,0.00161,0.225,0.782,139.073,3,185,FALSE,track,Eric Clapton,0,19,day,343546,nominee
0.75,0.524,9,-9.233,1,0.0312,0.713,0.0235,0.114,0.433,95.016,4,185,FALSE,track,Eric Clapton,0,21,day,225680,nominee
0.647,0.84,2,-7.559,1,0.0433,0.00055,0.0135,0.157,0.809,100.01,4,185,FALSE,track,Eric Clapton,0,22,day,285306,nominee
0.595,0.493,7,-7.202,1,0.0252,0.0118,0.0025,0.119,0.13,100.132,4,185,FALSE,track,Eric Clapton,0,23,day,331413,nominee
0.598,0.71,0,-9.182,1,0.0648,0.283,0.0876,0.0488,0.812,173.958,4,185,FALSE,track,Eric Clapton,0,19,day,325520,nominee
0.605,0.437,1,-10.473,1,0.0373,0.37,0.055,0.11,0.33,81.967,4,3,FALSE,track,Sting,0,36,day,358066,winner
0.581,0.654,0,-7.9,0,0.0316,0.0145,0,0.114,0.131,111.999,4,3,FALSE,track,Sting,1,52,day,285893,winner
0.687,0.52,11,-12.275,0,0.0452,0.0609,0.0182,0.114,0.366,160.084,4,3,FALSE,track,Sting,0,23,day,305106,winner
0.642,0.787,10,-8.224,0,0.0345,0.0633,2.32E-06,0.108,0.547,109.484,4,3,FALSE,track,Sting,0,25,day,303020,winner
0.763,0.56,1,-8.343,1,0.0853,0.0823,0,0.112,0.477,88.968,4,3,FALSE,track,Sting,0,21,day,324226,winner
0.626,0.496,7,-11.964,0,0.0385,0.114,3.19E-05,0.111,0.507,97.042,4,3,FALSE,track,Sting,0,20,day,289373,winner
0.355,0.108,2,-30.056,1,0.0438,0.722,0.0764,0.106,0.0388,159.06,3,3,FALSE,track,Sting,0,1,day,20960,winner
0.429,0.66,2,-9.821,1,0.0425,0.0497,5.04E-06,0.115,0.552,101.635,3,3,FALSE,track,Sting,0,21,day,338573,winner
0.66,0.351,4,-11.816,1,0.0281,0.585,4.50E-06,0.104,0.47,120.091,4,3,FALSE,track,Sting,0,26,day,329600,winner
0.496,0.803,4,-7.424,1,0.0789,0.19,9.68E-06,0.0767,0.391,157.456,3,3,FALSE,track,Sting,0,43,day,379826,winner
0.22,0.675,2,-7.352,1,0.0298,0.216,5.10E-06,0.634,0.242,170.428,4,184,FALSE,track,Sarah McLachlan,0,24,day,246666,nominee
0.254,0.454,9,-9,1,0.0297,0.288,0.000564,0.856,0.067,141.215,4,184,FALSE,track,Sarah McLachlan,0,25,day,318506,nominee
0.337,0.585,9,-9.532,1,0.0321,0.103,0.000708,0.956,0.247,94.535,4,184,FALSE,track,Sarah McLachlan,0,23,day,310933,nominee
0.362,0.404,9,-11.111,1,0.0285,0.637,6.64E-05,0.864,0.365,73.437,4,184,FALSE,track,Sarah McLachlan,0,25,day,222840,nominee
0.459,0.532,3,-8.484,1,0.0265,0.473,2.30E-06,0.747,0.335,80.932,4,184,FALSE,track,Sarah McLachlan,0,21,day,238066,nominee
0.519,0.447,8,-12.227,1,0.0308,0.189,0.00581,0.745,0.178,112.127,4,184,FALSE,track,Sarah McLachlan,0,22,day,269653,nominee
0.414,0.231,2,-14.047,1,0.0334,0.935,6.83E-06,0.942,0.223,92.22,4,184,FALSE,track,Sarah McLachlan,0,24,day,249986,nominee
0.504,0.515,11,-10.717,1,0.0255,0.21,3.22E-05,0.845,0.209,91.672,4,184,FALSE,track,Sarah McLachlan,0,23,day,363426,nominee
0.391,0.444,9,-10.078,1,0.0291,0.134,0.000188,0.954,0.144,94.007,4,184,FALSE,track,Sarah McLachlan,0,21,day,301160,nominee
0.545,0.818,6,-8.298,0,0.0508,0.0077,0.00071,0.963,0.491,100.085,4,184,FALSE,track,Sarah McLachlan,0,23,day,313653,nominee
0.551,0.779,9,-7.79,1,0.0447,0.00368,0.000186,0.685,0.522,113.118,4,184,FALSE,track,Sarah McLachlan,0,22,day,238720,nominee
0.379,0.675,8,-9.676,0,0.0358,0.024,0.000678,0.897,0.399,142.636,3,184,FALSE,track,Sarah McLachlan,0,23,day,182146,nominee
0.355,0.764,10,-8.323,0,0.0469,0.00598,0.000974,0.403,0.535,169.358,4,184,FALSE,track,Sarah McLachlan,0,21,day,347680,nominee
0.284,0.141,2,-15.506,1,0.0345,0.966,1.88E-05,0.729,0.225,142.544,4,184,FALSE,track,Sarah McLachlan,0,19,day,349146,nominee
0.858,0.546,9,-8.08,1,0.0537,0.331,0.0278,0.0543,0.824,102.998,4,184,FALSE,track,Steely Dan,0,33,day,353800,winner
0.883,0.4,9,-9.648,0,0.0441,0.295,4.56E-06,0.114,0.669,112.998,4,184,FALSE,track,Steely Dan,0,35,day,317400,winner
0.699,0.784,1,-7.955,1,0.0598,0.119,0.00239,0.0752,0.809,179.99,3,184,FALSE,track,Steely Dan,0,28,day,377866,winner
0.916,0.365,10,-8.676,0,0.0476,0.077,0.0231,0.092,0.749,105.986,4,184,FALSE,track,Steely Dan,0,29,day,249106,winner
0.808,0.456,7,-11.07,0,0.0282,0.664,0.00585,0.109,0.383,111.034,4,184,FALSE,track,Steely Dan,0,29,day,249933,winner
0.899,0.388,6,-9.037,0,0.0461,0.345,0.0259,0.0665,0.69,91.506,4,184,FALSE,track,Steely Dan,0,40,day,377600,winner
0.832,0.554,10,-8.918,1,0.0441,0.17,0.0495,0.0796,0.859,139.978,4,184,FALSE,track,Steely Dan,0,36,day,328293,winner
0.635,0.39,10,-12.198,0,0.0306,0.61,0.00735,0.269,0.419,101.16,4,184,FALSE,track,Steely Dan,0,25,day,334800,winner
0.74,0.536,11,-9.052,0,0.0496,0.619,0.0402,0.2,0.757,149.532,4,184,FALSE,track,Steely Dan,0,25,day,501600,winner
0.779,0.794,9,-4.739,0,0.0822,0.049,0,0.0637,0.722,109.149,4,184,FALSE,track,Don Henley,0,15,day,290800,nominee
0.569,0.497,4,-6.632,0,0.0269,0.344,2.34E-05,0.134,0.0877,72.346,4,184,FALSE,track,Don Henley,0,40,day,331666,nominee
0.402,0.177,4,-13.08,1,0.0358,0.862,0,0.0903,0.239,154.247,4,184,FALSE,track,Don Henley,0,26,day,217186,nominee
0.642,0.48,2,-6.468,1,0.0257,0.0765,2.22E-05,0.186,0.304,146.035,4,184,FALSE,track,Don Henley,0,27,day,313253,nominee
0.598,0.797,1,-4.374,0,0.0431,0.232,0,0.0661,0.788,86.004,4,184,FALSE,track,Don Henley,0,16,day,337546,nominee
0.571,0.25,7,-10.2,0,0.0298,0.649,3.24E-05,0.0497,0.237,113.694,4,184,FALSE,track,Don Henley,0,25,day,349573,nominee
0.441,0.76,4,-4.689,0,0.0307,0.207,1.37E-05,0.381,0.0681,79.946,4,184,TRUE,track,Don Henley,0,14,day,290026,nominee
0.469,0.748,5,-4.534,1,0.0357,0.298,0,0.0603,0.18,155.516,4,184,FALSE,track,Don Henley,0,15,day,359933,nominee
0.599,0.398,7,-8.747,1,0.0246,0.705,0.000101,0.134,0.128,129.282,4,184,FALSE,track,Don Henley,0,13,day,433493,nominee
0.749,0.718,0,-5.643,1,0.0473,0.0525,0,0.164,0.614,105.229,4,184,FALSE,track,Don Henley,0,16,day,402226,nominee
0.593,0.935,2,-4.429,1,0.0967,0.107,0.000105,0.268,0.377,105.658,4,184,FALSE,track,Don Henley,0,11,day,345433,nominee
